Rank,School,Conference,Power Rating,oe,de,tempo,id,,RANK,TEAM,2021-22 RECORD,POINTS
241,Siena,MAAC,9.58,97.80,102.70,68.35,168,70.35,,,,
242,Binghamton,AE,9.57,100.26,105.84,69.10,20,71.10,,,,
243,UC San Diego,BW,9.57,100.44,106.08,70.81,1007,72.81,,,,
244,Cal Poly,BW,9.56,98.23,103.30,67.50,122,69.50,,,,
245,High Point,BSth,9.55,98.67,103.88,68.92,85,70.92,,,,
246,Drexel,CAA,9.54,98.00,103.05,68.00,132,70.00,,,,
247,Denver,Sum,9.44,101.58,107.83,68.40,319,70.40,,,,
248,Bowling Green,MAC,9.37,101.06,107.32,73.80,181,75.80,,,,
249,Western Carolina,SC,9.36,101.10,107.40,70.20,287,72.20,,,,
250,Niagara,MAAC,9.30,97.47,102.92,66.58,175,68.58,,,,
251,Georgia Southern,SB,9.27,96.77,102.10,67.54,329,69.54,,,,
252,Boston University,Pat,9.26,99.43,105.50,67.40,259,69.40,,,,
253,Queens,ASun,9.22,99.83,106.10,73.20,701,75.20,,,,
254,Weber St.,BSky,9.18,99.05,105.20,71.70,69,73.70,,,,
255,Northern Arizona,BSky,9.17,101.85,108.78,67.09,79,69.09,,,,
256,Saint Peter's,MAAC,9.16,92.89,97.40,68.43,169,70.43,,,,
257,Loyola MD,Pat,9.12,95.80,101.20,68.23,262,70.23,,,,
258,Cleveland St.,Horz,9.09,97.60,103.57,71.90,156,73.90,,,,
259,UTSA,CUSA,9.08,98.11,104.23,71.87,147,73.87,,,,
260,Southern,SWAC,9.05,95.64,101.16,71.63,305,73.63,,,,
261,Lehigh,Pat,9.00,99.27,105.89,70.51,260,72.51,,,,
262,Albany,AE,8.97,97.89,104.20,67.60,13,69.60,,,,
263,Texas Southern,SWAC,8.94,96.69,102.75,71.50,304,73.50,,,,
264,Eastern Kentucky,ASun,8.91,99.65,106.58,74.18,237,76.18,,,,
265,Bucknell,Pat,8.89,101.90,109.48,70.80,257,72.80,,,,
266,Howard,MEAC,8.86,100.16,107.33,72.22,195,74.22,,,,
267,San Jose St.,MWC,8.83,99.46,106.51,67.36,222,69.36,,,,
268,Merrimack,NEC,8.77,95.65,101.81,65.18,817,67.18,,,,
269,Robert Morris,Horz,8.76,101.14,108.81,68.70,230,70.70,,,,
270,Louisiana Monroe,SB,8.71,98.92,106.10,69.21,326,71.21,,,,
271,Miami OH,MAC,8.70,98.03,105.01,70.38,182,72.38,,,,
272,SIU Edwardsville,OVC,8.65,97.13,103.96,70.48,244,72.48,,,,
273,Sacramento St.,BSky,8.59,98.79,106.21,65.20,77,67.20,,,,
274,Morgan St.,MEAC,8.57,96.95,103.92,73.55,199,75.55,,,,
275,North Carolina A&T,CAA,8.54,96.97,104.00,70.93,196,72.93,,,,
276,Tennessee St.,OVC,8.45,98.92,106.70,70.51,235,72.51,,,,
277,Arkansas St.,SB,8.41,96.48,103.69,70.00,327,72.00,,,,
278,Little Rock,OVC,8.38,98.12,105.84,69.09,323,71.09,,,,
279,Wagner,NEC,8.37,95.40,102.40,68.00,223,70.00,,,,
280,Cal St. Bakersfield,BW,8.31,97.78,105.55,66.30,346,68.30,,,,
281,Southern Indiana,OVC,8.28,95.01,102.10,72.10,1212,74.10,,,,
282,Stony Brook,CAA,8.25,100.14,108.70,70.08,12,72.08,,,,
283,St. Francis PA,NEC,8.24,97.84,105.79,69.80,225,71.80,,,,
284,North Carolina Central,MEAC,8.22,99.54,108.00,69.12,197,71.12,,,,
285,Radford,BSth,8.21,97.64,105.60,66.02,86,68.02,,,,
286,USC Upstate,BSth,8.12,99.03,107.59,70.63,43,72.63,,,,
287,Illinois Chicago,MVC,8.10,97.64,105.85,70.86,157,72.86,,,,
288,American,Pat,8.09,97.87,106.17,67.90,265,69.90,,,,
289,Presbyterian,BSth,8.06,94.76,102.28,66.82,89,68.82,,,,
290,St. Thomas,Sum,7.99,102.27,112.00,67.26,1112,69.26,,,,
291,Tennessee Martin,OVC,7.98,98.04,106.65,70.57,241,72.57,,,,
292,UMBC,AE,7.94,98.44,107.24,69.96,19,71.96,,,,
293,The Citadel,SC,7.85,98.25,107.20,66.50,288,68.50,,,,
294,Canisius,MAAC,7.79,96.06,104.54,70.90,172,72.90,,,,
295,Monmouth,CAA,7.75,95.24,103.60,70.69,166,72.69,,,,
296,Alcorn St.,SWAC,7.73,96.93,105.80,70.30,307,72.30,,,,
297,Prairie View A&M,SWAC,7.67,95.87,104.60,72.10,313,74.10,,,,
298,Army,Pat,7.64,95.14,103.74,70.80,263,72.80,,,,
299,UT Arlington,WAC,7.62,93.04,101.10,67.15,325,69.15,,,,
300,Jackson St.,SWAC,7.48,93.86,102.46,71.85,306,73.85,,,,
301,Coppin St.,MEAC,7.47,95.30,104.30,75.30,200,77.30,,,,
302,Northern Illinois,MAC,7.35,94.68,103.81,69.02,186,71.02,,,,
303,Southeast Missouri St.,OVC,7.34,98.10,108.17,72.09,243,74.09,,,,
304,Lafayette,Pat,7.31,99.32,109.80,70.50,266,72.50,,,,
305,Milwaukee,Horz,7.30,97.02,106.90,66.00,151,68.00,,,,
306,Columbia,Ivy,7.25,96.82,106.75,71.30,159,73.30,,,,
307,Portland St.,BSky,7.25,97.01,107.00,72.75,76,74.75,,,,
308,William & Mary,CAA,7.13,97.20,107.50,70.44,125,72.44,,,,
309,Stetson,ASun,7.12,96.64,106.81,67.77,41,69.77,,,,
310,St. Francis NY,NEC,7.06,96.12,106.29,70.32,228,72.32,,,,
311,Grambling St.,SWAC,7.02,94.36,104.13,71.29,312,73.29,,,,
312,Marist,MAAC,6.99,94.49,104.39,68.02,176,70.02,,,,
313,Central Michigan,MAC,6.88,96.44,107.10,69.50,185,71.50,,,,
314,Alabama A&M,SWAC,6.83,91.69,101.18,69.90,309,71.90,,,,
315,Eastern Michigan,MAC,6.77,95.89,106.66,71.70,187,73.70,,,,
316,Maryland Eastern Shore,MEAC,6.71,92.77,102.81,69.80,193,71.80,,,,
317,Southeastern Louisiana,Slnd,6.61,96.27,107.50,72.37,300,74.37,,,,
318,Elon,CAA,6.60,94.16,104.83,66.00,130,68.00,,,,
319,Western Illinois,Sum,6.57,95.16,106.19,72.88,322,74.88,,,,
320,Sacred Heart,NEC,6.54,96.23,107.60,69.35,227,71.35,,,,
321,UMKC,Sum,6.42,93.02,103.80,72.10,362,74.10,,,,
322,New Orleans,Slnd,6.28,94.50,105.99,73.88,176,75.88,,,,
323,Cal St. Northridge,BW,6.28,96.57,108.64,67.90,121,69.90,,,,
324,Alabama St.,SWAC,6.23,95.42,107.28,72.10,311,74.10,,,,
325,Charleston Southern,BSth,6.23,96.04,108.07,70.80,88,72.80,,,,
326,Tennessee Tech,OVC,6.19,97.41,109.90,70.88,234,72.88,,,,
327,Hampton,CAA,6.07,95.70,108.00,71.50,189,73.50,,,,
328,Northwestern St.,Slnd,5.97,96.31,109.00,69.69,301,71.69,,,,
329,Central Arkansas,ASun,5.94,96.52,109.35,73.60,298,75.60,,,,
330,North Alabama,ASun,5.89,92.86,104.80,70.59,396,72.59,,,,
331,McNeese St.,Slnd,5.89,97.49,110.70,71.61,299,73.61,,,,
332,Central Connecticut,NEC,5.87,96.33,109.27,66.60,232,68.60,,,,
333,Nebraska Omaha,Sum,5.85,97.53,110.83,69.94,316,71.94,,,,
334,Idaho St.,BSky,5.85,95.13,107.79,66.45,72,68.45,,,,
335,Texas A&M Commerce,Slnd,5.76,96.00,109.10,74.00,392,76.00,,,,
336,Houston Christian,Slnd,5.65,95.51,108.73,72.56,293,74.56,,,,
337,Bethune Cookman,SWAC,5.63,93.96,106.78,67.80,192,69.80,,,,
338,North Dakota,Sum,5.62,95.91,109.30,69.52,71,71.52,,,,
339,NJIT,AE,5.59,94.75,107.90,68.59,39,70.59,,,,
340,Holy Cross,Pat,5.30,94.22,107.87,69.70,264,71.70,,,,
341,Maine,AE,5.14,94.80,108.97,71.00,17,73.00,,,,
342,LIU Brooklyn,NEC,5.11,93.99,108.00,74.50,229,76.50,,,,
343,VMI,SC,5.10,94.98,109.30,71.50,290,73.50,,,,
344,Evansville,MVC,5.07,92.25,105.88,65.10,203,67.10,,,,
345,Chicago St.,ind,5.06,97.30,112.34,67.60,351,69.60,,,,
346,UT Rio Grande Valley,WAC,4.87,94.59,109.32,73.76,350,75.76,,,,
347,Idaho,BSky,4.76,95.83,111.13,71.18,73,73.18,,,,
348,Southern Miss,SB,4.76,92.73,107.20,69.17,143,71.17,,,,
349,New Hampshire,AE,4.69,94.33,109.40,65.99,14,67.99,,,,
350,Incarnate Word,Slnd,4.35,95.66,111.87,66.85,294,68.85,,,,
351,South Carolina St.,MEAC,4.31,93.80,109.59,72.00,190,74.00,,,,
352,Green Bay,Horz,2.66,90.40,109.00,67.08,152,69.08,,,,
353,Lindenwood,OVC,2.55,90.90,109.90,70.00,741,72.00,,,,
354,Fairleigh Dickinson,NEC,2.40,92.17,111.85,71.70,224,73.70,,,,
355,Stonehill,NEC,2.38,90.28,109.50,67.80,1213,69.80,,,,
356,Eastern Illinois,OVC,2.27,88.64,107.65,66.70,239,68.70,,,,
357,Lamar,Slnd,2.19,89.54,108.99,68.06,303,70.06,,,,
358,Florida A&M,SWAC,1.82,88.90,109.00,68.50,198,70.50,,,,
359,Delaware St.,MEAC,1.46,89.26,110.28,70.40,201,72.40,,,,
360,Hartford,ind,1.22,90.10,111.90,69.30,18,71.30,,,,
361,Mississippi Valley St.,SWAC,0.41,90.01,113.61,68.94,308,70.94,,,,
362,Arkansas Pine Bluff,SWAC,0.50,90.11,113.55,68.90,310,70.90,,,,
363,IUPUI,Horz,-2.54,83.54,112.10,64.34,317,66.34,,,,
,,,,,,,,,,,,
,,,,101.73,101.20,69.43,,,,,,
